Country,Continent,Population,Cases,Pct Cases,Deaths,Pct Deaths
Croatia,Europe,4008617,1285460,32,18518,0
Guatemala,North America,18092026,1281183,7,20272,0
Morocco,Africa,37840044,1278269,3,16300,0
Lebanon,Asia,5353930,1243838,23,10952,0
Costa Rica,North America,5212173,1238883,24,9428,0
Bolivia,South America,12388571,1211716,10,22407,0
Tunisia,Africa,12458223,1153361,9,29423,0
Cuba,North America,11194449,1115183,10,8530,0
Ecuador,South America,18190484,1070121,6,36043,0
United Arab Emirates,Asia,9516871,1067030,11,2349,0
Panama,North America,4468087,1049089,23,8666,0
Uruguay,South America,3423108,1041111,30,7664,0
Mongolia,Asia,3447157,1011420,29,2284,0
Nepal,Asia,30896590,1003450,3,12031,0
Belarus,Europe,9498238,994037,10,7118,0
Latvia,Europe,1830211,981106,54,6523,0
Saudi Arabia,Asia,36947025,841469,2,9646,0
Azerbaijan,Asia,10412651,834305,8,10379,0
Paraguay,South America,6861524,823491,12,20069,0
Bahrain,Asia,1485509,729549,49,1574,0
Sri Lanka,Asia,21893579,672718,3,16891,0
Dominican Republic,North America,11332972,670627,6,4384,0
Kuwait,Asia,4310108,666586,15,2570,0
Cyprus,Asia,1260138,660854,52,1364,0
Myanmar,Asia,54577997,641448,1,19495,0
